Year,Country,Migrants
2015,India,38400
2015,China,39070
2015,UK,9400
2015,New Zealand,930
2015,Philippines,12430
2015,Nepal,6410
2015,Sri Lanka,4120
2015,Bangladesh,2880
2015,Pakistan,7230
2015,Vietnam,7320
2015,Indonesia,2490
2015,Afghanistan,2900
2015,South Africa,3460
2015,Iran,2620
2015,Ireland,-3240
2015,Hong Kong,1820
2016,India,40860
2016,China,45480
2016,UK,9140
2016,New Zealand,1480
2016,Philippines,13000
2016,Nepal,7970
2016,Sri Lanka,4200
2016,Bangladesh,2830
2016,Pakistan,6730
2016,Vietnam,7830
2016,Indonesia,2830
2016,Afghanistan,2760
2016,South Africa,4080
2016,Iran,2460
2016,Ireland,-2240
2016,Hong Kong,1800
2017,India,49730
2017,China,50020
2017,UK,10460
2017,New Zealand,1850
2017,Philippines,13590
2017,Nepal,14880
2017,Sri Lanka,5510
2017,Bangladesh,2940
2017,Pakistan,6990
2017,Vietnam,8120
2017,Indonesia,3840
2017,Afghanistan,2970
2017,South Africa,5580
2017,Iran,3000
2017,Ireland,-420
2017,Hong Kong,1960
2018,India,55860
2018,China,44610
2018,UK,7830
2018,New Zealand,3010
2018,Philippines,12620
2018,Nepal,21000
2018,Sri Lanka,5480
2018,Bangladesh,2910
2018,Pakistan,7840
2018,Vietnam,7250
2018,Indonesia,3370
2018,Afghanistan,3320
2018,South Africa,4680
2018,Iran,2680
2018,Ireland,590
2018,Hong Kong,1290
2019,India,73190
2019,China,20170
2019,UK,7440
2019,New Zealand,3330
2019,Philippines,18400
2019,Nepal,24060
2019,Sri Lanka,6980
2019,Bangladesh,2590
2019,Pakistan,7510
2019,Vietnam,7880
2019,Indonesia,3860
2019,Afghanistan,3040
2019,South Africa,5990
2019,Iran,3440
2019,Ireland,840
2019,Hong Kong,1830
2020,India,59810
2020,China,-18590
2020,UK,10670
2020,New Zealand,-360
2020,Philippines,15350
2020,Nepal,13340
2020,Sri Lanka,6960
2020,Bangladesh,2660
2020,Pakistan,5600
2020,Vietnam,7470
2020,Indonesia,3550
2020,Afghanistan,3070
2020,South Africa,6380
2020,Iran,3020
2020,Ireland,1260
2020,Hong Kong,3050
2021,India,-10650
2021,China,-50270
2021,UK,-960
2021,New Zealand,-2150
2021,Philippines,1080
2021,Nepal,-2090
2021,Sri Lanka,-830
2021,Bangladesh,-560
2021,Pakistan,-730
2021,Vietnam,-1420
2021,Indonesia,-2510
2021,Afghanistan,1460
2021,South Africa,2560
2021,Iran,590
2021,Ireland,-1200
2021,Hong Kong,810
2022,India,43570
2022,China,15100
2022,UK,2760
2022,New Zealand,5370
2022,Philippines,12930
2022,Nepal,21020
2022,Sri Lanka,6000
2022,Bangladesh,2800
2022,Pakistan,7180
2022,Vietnam,8310
2022,Indonesia,4520
2022,Afghanistan,7280
2022,South Africa,4980
2022,Iran,3490
2022,Ireland,-110
2022,Hong Kong,8470
2023,India,95030
2023,China,59570
2023,UK,19550
2023,New Zealand,15950
2023,Philippines,43330
2023,Nepal,28020
2023,Sri Lanka,13990
2023,Bangladesh,6400
2023,Pakistan,17640
2023,Vietnam,18800
2023,Indonesia,13090
2023,Afghanistan,6700
2023,South Africa,9170
2023,Iran,5810
2023,Ireland,9630
2023,Hong Kong,7910
2024,India,70130
2024,China,46580
2024,UK,23550
2024,New Zealand,22910
2024,Philippines,31670
2024,Nepal,18160
2024,Sri Lanka,14760
2024,Bangladesh,9750
2024,Pakistan,14250
2024,Vietnam,20350
2024,Indonesia,10860
2024,Afghanistan,10360
2024,South Africa,10130
2024,Iran,5930
2024,Ireland,9110
2024,Hong Kong,4980
2025,India,57410
2025,China,35160
2025,UK,25620
2025,New Zealand,24320
2025,Philippines,19440
2025,Nepal,16310
2025,Sri Lanka,12430
2025,Bangladesh,11280
2025,Pakistan,9390
2025,Vietnam,9250
2025,Indonesia,8490
2025,Afghanistan,8490
2025,South Africa,6590
2025,Iran,4190
2025,Ireland,3480
2025,Hong Kong,3460
