State,Year,Population,Growth
ACT,2016,401673,0.018205739
ACT,2017,413017,0.028241878
ACT,2018,423810,0.026132096
ACT,2019,433801,0.023574243
ACT,2020,443035,0.021286258
ACT,2021,449573,0.014757299
ACT,2022,459556,0.022205515
ACT,2023,469185,0.020952833
ACT,2024,477529,0.01778403
ACT,2025,483324,0.012135389
NSW,2016,7707412,0.014703127
NSW,2017,7833463,0.016354517
NSW,2018,7934688,0.012922127
NSW,2019,8032991,0.012389019
NSW,2020,8112001,0.009835689
NSW,2021,8093015,-0.002340483
NSW,2022,8153203,0.007437031
NSW,2023,8317329,0.020130248
NSW,2024,8477401,0.019245602
NSW,2025,8574064,0.011402433
NT,2016,244627,0.006451109
NT,2017,246231,0.006556921
NT,2018,246674,0.001799124
NT,2019,246016,-0.002667488
NT,2020,246969,0.003873732
NT,2021,248185,0.004923695
NT,2022,252107,0.015802728
NT,2023,256466,0.017290278
NT,2024,259967,0.013650932
NT,2025,263862,0.014982671
QLD,2016,4826538,0.013033854
QLD,2017,4906370,0.01654022
QLD,2018,4985955,0.01622075
QLD,2019,5070306,0.016917722
QLD,2020,5154305,0.01656685
QLD,2021,5199548,0.008777711
QLD,2022,5283479,0.01614198
QLD,2023,5415786,0.025041644
QLD,2024,5548832,0.024566333
QLD,2025,5648264,0.017919447
SA,2016,1710334,0.007007047
SA,2017,1725253,0.008722858
SA,2018,1742255,0.009854787
SA,2019,1762889,0.011843272
SA,2020,1787847,0.014157443
SA,2021,1798586,0.006006666
SA,2022,1818356,0.010991968
SA,2023,1851014,0.017960179
SA,2024,1878655,0.014932896
SA,2025,1898981,0.010819443
TAS,2016,516861,0.003980094
TAS,2017,524574,0.014922774
TAS,2018,534754,0.019406223
TAS,2019,545803,0.020661837
TAS,2020,555975,0.018636761
TAS,2021,564840,0.015944962
TAS,2022,571384,0.011585582
TAS,2023,573836,0.004291335
TAS,2024,574965,0.001967461
TAS,2025,576067,0.001916638
VIC,2016,6138627,0.023922785
VIC,2017,6278555,0.022794674
VIC,2018,6398586,0.019117615
VIC,2019,6518716,0.01877446
VIC,2020,6616636,0.015021363
VIC,2021,6555302,-0.009269665
VIC,2022,6591580,0.005534146
VIC,2023,6757251,0.025133731
VIC,2024,6928534,0.02534803
VIC,2025,7050570,0.017613538
WA,2016,2554506,0.007057467
WA,2017,2579276,0.009696591
WA,2018,2610320,0.012035936
WA,2019,2649641,0.01506367
WA,2020,2706350,0.021402522
WA,2021,2739105,0.012103017
WA,2022,2778421,0.014353594
WA,2023,2868478,0.032413014
WA,2024,2962651,0.032830302
WA,2025,3031308,0.023174177
