State,Year,Population,GrowthRate
ACT,2016,401673,1.820573853
ACT,2017,413017,2.824187834
ACT,2018,423810,2.613209626
ACT,2019,433801,2.357424318
ACT,2020,443035,2.128625798
ACT,2021,449573,1.475729908
ACT,2022,459556,2.220551501
ACT,2023,469185,2.095283273
ACT,2024,477529,1.778402975
ACT,2025,483324,1.213538864
NSW,2016,7707412,1.470312732
NSW,2017,7833463,1.635451692
NSW,2018,7934688,1.292212652
NSW,2019,8032991,1.238901895
NSW,2020,8112001,0.983568885
NSW,2021,8093015,-0.234048295
NSW,2022,8153203,0.743703058
NSW,2023,8317329,2.01302482
NSW,2024,8477401,1.924560156
NSW,2025,8574064,1.140243336
NT,2016,244627,0.645110858
NT,2017,246231,0.655692135
NT,2018,246674,0.179912359
NT,2019,246016,-0.266748826
NT,2020,246969,0.387373179
NT,2021,248185,0.492369488
NT,2022,252107,1.58027278
NT,2023,256466,1.729027754
NT,2024,259967,1.365093229
NT,2025,263862,1.498267088
QLD,2016,4826538,1.303385351
QLD,2017,4906370,1.654021993
QLD,2018,4985955,1.622074976
QLD,2019,5070306,1.691772188
QLD,2020,5154305,1.656685021
QLD,2021,5199548,0.877771106
QLD,2022,5283479,1.614198003
QLD,2023,5415786,2.504164396
QLD,2024,5548832,2.456633257
QLD,2025,5648264,1.791944683
SA,2016,1710334,0.700704708
SA,2017,1725253,0.872285764
SA,2018,1742255,0.985478652
SA,2019,1762889,1.184327208
SA,2020,1787847,1.41574427
SA,2021,1798586,0.600666612
SA,2022,1818356,1.099196813
SA,2023,1851014,1.796017941
SA,2024,1878655,1.493289624
SA,2025,1898981,1.081944263
TAS,2016,516861,0.39800937
TAS,2017,524574,1.492277421
TAS,2018,534754,1.940622295
TAS,2019,545803,2.066183703
TAS,2020,555975,1.863676088
TAS,2021,564840,1.594496155
TAS,2022,571384,1.158558176
TAS,2023,573836,0.429133472
TAS,2024,574965,0.196746109
TAS,2025,576067,0.19166384
VIC,2016,6138627,2.392278496
VIC,2017,6278555,2.279467379
VIC,2018,6398586,1.911761544
VIC,2019,6518716,1.877446048
VIC,2020,6616636,1.50213631
VIC,2021,6555302,-0.926966513
VIC,2022,6591580,0.553414625
VIC,2023,6757251,2.513373121
VIC,2024,6928534,2.534802984
VIC,2025,7050570,1.761353845
WA,2016,2554506,0.705746739
WA,2017,2579276,0.969659104
WA,2018,2610320,1.203593567
WA,2019,2649641,1.506367035
WA,2020,2706350,2.140252208
WA,2021,2739105,1.210301698
WA,2022,2778421,1.43535936
WA,2023,2868478,3.241301444
WA,2024,2962651,3.283030234
WA,2025,3031308,2.317417745
