State,Year,Population
ACT,2015,394491
ACT,2016,401673
ACT,2017,413017
ACT,2018,423810
ACT,2019,433801
ACT,2020,443035
ACT,2021,449573
ACT,2022,459556
ACT,2023,469185
ACT,2024,477529
ACT,2025,483324
NSW,2015,7595731
NSW,2016,7707412
NSW,2017,7833463
NSW,2018,7934688
NSW,2019,8032991
NSW,2020,8112001
NSW,2021,8093015
NSW,2022,8153203
NSW,2023,8317329
NSW,2024,8477401
NSW,2025,8574064
NT,2015,243059
NT,2016,244627
NT,2017,246231
NT,2018,246674
NT,2019,246016
NT,2020,246969
NT,2021,248185
NT,2022,252107
NT,2023,256466
NT,2024,259967
NT,2025,263862
QLD,2015,4764439
QLD,2016,4826538
QLD,2017,4906370
QLD,2018,4985955
QLD,2019,5070306
QLD,2020,5154305
QLD,2021,5199548
QLD,2022,5283479
QLD,2023,5415786
QLD,2024,5548832
QLD,2025,5648264
SA,2015,1698433
SA,2016,1710334
SA,2017,1725253
SA,2018,1742255
SA,2019,1762889
SA,2020,1787847
SA,2021,1798586
SA,2022,1818356
SA,2023,1851014
SA,2024,1878655
SA,2025,1898981
TAS,2015,514812
TAS,2016,516861
TAS,2017,524574
TAS,2018,534754
TAS,2019,545803
TAS,2020,555975
TAS,2021,564840
TAS,2022,571384
TAS,2023,573836
TAS,2024,574965
TAS,2025,576067
VIC,2015,5995205
VIC,2016,6138627
VIC,2017,6278555
VIC,2018,6398586
VIC,2019,6518716
VIC,2020,6616636
VIC,2021,6555302
VIC,2022,6591580
VIC,2023,6757251
VIC,2024,6928534
VIC,2025,7050570
WA,2015,2536604
WA,2016,2554506
WA,2017,2579276
WA,2018,2610320
WA,2019,2649641
WA,2020,2706350
WA,2021,2739105
WA,2022,2778421
WA,2023,2868478
WA,2024,2962651
WA,2025,3031308
